player_id,team_id,jersey_no,player_name,posi_to_play,dir_of_bir,age,playing_club,match_no,team_id,player_id,in_out,time_in_out,play_schedule,play_half
160144,1207,2,Christophe Jallet,DF,10/31/1983,32,Lyon,13,1217,160383,I,46,NT,2
160143,1207,3,Patrice Evra,DF,5/15/1981,35,Juventus,13,1217,160383,I,,,
160147,1207,4,Adil Rami,DF,12/27/1985,30,Sevilla,13,1217,160376,O,46,NT,2
160152,1207,5,NGolo Kante,MF,3/29/1991,25,Leicester,13,1217,160381,O,46,NT,2
160150,1207,6,Yohan Cabaye,MF,1/14/1986,30,Crystal Palace,13,1217,160386,I,75,NT,2
160160,1207,7,Antoine Griezmann,FD,3/21/1991,25,Atletico,13,1217,160390,O,75,NT,2
160154,1207,8,Dimitri Payet,MF,3/29/1987,29,West Ham,13,1218,160413,I,67,NT,2
160159,1207,9,Olivier Giroud,FD,9/30/1986,29,Arsenal,13,1218,160403,O,67,NT,2
160158,1207,10,Andre-Pierre Gignac,FD,12/5/1985,30,Tigres,13,1218,160402,I,72,NT,2
160161,1207,11,Anthony Martial,FD,12/5/1995,20,Man. United,13,1218,160411,O,72,NT,2
160156,1207,12,Morgan Schneiderlin,MF,11/8/1989,26,Man. United,13,1218,160412,I,80,NT,2
160146,1207,13,Eliaquim Mangala,DF,2/13/1991,25,Man. City,13,1218,160408,O,80,NT,2
160153,1207,14,Blaise Matuidi,MF,4/9/1987,29,Paris,14,1216,160358,I,46,NT,2
160155,1207,15,Paul Pogba,MF,3/15/1993,23,Juventus,14,1216,160359,O,46,NT,2
160141,1207,16,Steve Mandanda,GK,3/28/1985,31,Marseille,14,1216,160350,I,62,NT,2
160142,1207,17,Lucas Digne,DF,7/20/1993,22,Roma,14,1216,160355,O,62,NT,2
160157,1207,18,Moussa Sissoko,MF,8/16/1989,26,Newcastle,14,1216,160366,I,84,NT,2
160148,1207,19,Bacary Sagna,DF,2/14/1983,33,Man. City,14,1216,160368,O,84,NT,2
160151,1207,20,Kingsley Coman,MF,6/13/1996,20,Bayern,14,1221,160480,I,63,NT,2
160145,1207,21,Laurent Koscielny,DF,9/10/1985,30,Arsenal,14,1221,160482,O,63,NT,2
160149,1207,22,Samuel Umtiti,DF,11/14/1993,22,Lyon,14,1221,160466,I,83,NT,2
160139,1207,23,Benoit Costil,GK,7/3/1987,28,Rennes,14,1221,160473,O,83,NT,2
160163,1208,1,Manuel Neuer,GK,3/27/1986,30,Bayern,14,1221,160483,I,90,NT,2
160170,1208,2,Shkodran Mustafi,DF,4/17/1992,24,Valencia,14,1221,160476,O,90,NT,2
160166,1208,3,Jonas Hector,DF,5/27/1990,26,Koln,15,1201,160018,I,71,NT,2
160167,1208,4,Benedikt Howedes,DF,2/29/1988,28,Schalke,15,1201,160008,O,71,NT,2
160168,1208,5,Mats Hummels,DF,12/16/1988,27,Dortmund,15,1201,160019,I,74,NT,2
160175,1208,6,Sami Khedira,MF,4/4/1987,29,Juventus,15,1201,160015,O,74,NT,2
160180,1208,7,Bastian Schweinsteiger,MF,8/1/1984,31,Man. United,15,1201,160010,I,85,NT,2
160177,1208,8,Mesut ozil,MF,10/15/1988,27,Arsenal,15,1201,160005,O,85,NT,2
160179,1208,9,Andre Schurrle,MF,11/6/1990,25,Wolfsburg,15,1207,160155,I,46,NT,2
160184,1208,10,Lukas Podolski,FD,6/4/1985,31,Galatasaray,15,1207,160161,O,46,NT,2
160173,1208,11,Julian Draxler,MF,9/20/1993,22,Wolfsburg,15,1207,160160,I,68,NT,2
160162,1208,12,Bernd Leno,GK,3/4/1992,24,Leverkusen,15,1207,160151,O,68,NT,2
160183,1208,13,Thomas Muller,FD,9/13/1989,26,Bayern,15,1207,160158,I,77,NT,2
160172,1208,14,Emre Can,MF,1/12/1994,22,Liverpool,15,1207,160159,O,77,NT,2
160181,1208,15,Julian Weigl,MF,9/8/1995,20,Dortmund,16,1206,160138,I,46,NT,2
160171,1208,16,Jonathan Tah,DF,2/11/1996,20,Leverkusen,16,1206,160137,I,46,NT,2
160165,1208,17,Jerome Boateng,DF,9/3/1988,27,Bayern,16,1206,160134,O,46,NT,2
160176,1208,18,Toni Kroos,MF,1/4/1990,26,Real Madrid,16,1206,160132,O,46,NT,2
160174,1208,19,Mario Gotze,MF,6/3/1992,24,Bayern,16,1206,160135,I,73,NT,2
160178,1208,20,Leroy Sane,MF,1/11/1996,20,Schalke,16,1206,160130,O,73,NT,2
160169,1208,21,Joshua Kimmich,DF,2/8/1995,21,Bayern,16,1224,160541,I,67,NT,2
160164,1208,22,Marc-Andre ter Stegen,GK,4/30/1992,24,Barcelona,16,1224,160543,O,67,NT,2
160182,1208,23,Mario Gomez,FD,7/10/1985,30,Besiktas,16,1224,160546,I,72,NT,2
160187,1209,1,Gabor Kiraly,GK,4/1/1976,40,Haladas,16,1224,160550,O,72,NT,2
160194,1209,2,Adam Lang,DF,1/17/1993,23,Videoton,17,1212,160275,I,69,NT,2
160193,1209,3,Mihaly Korhut,DF,12/1/1988,27,Debrecen,17,1212,160272,O,69,NT,2
160192,1209,4,Tamas Kadar,DF,3/14/1990,26,Lech,17,1212,160270,I,84,NT,2
160189,1209,5,Attila Fiola,DF,2/17/1990,26,Puskas Akademia,17,1212,160276,O,84,NT,2
160196,1209,6,Akos Elek,MF,7/21/1988,27,Diosgyor,17,1212,160265,I,87,NT,2
160202,1209,7,Balazs Dzsudzsak,FD,12/23/1986,29,Bursaspor,17,1212,160268,O,87,NT,2
160199,1209,8,Adam Nagy,MF,6/17/1995,21,Ferencvaros,17,1223,160529,I,71,NT,2
160207,1209,9,Adam Szalai,FD,12/9/1987,28,Hannover,17,1223,160528,O,71,NT,2
160203,1209,10,Zoltan Gera,FD,4/22/1979,37,Ferencvaros,17,1223,160516,I,76,NT,2
160204,1209,11,Krisztian Nemeth,FD,1/5/1989,27,Al-Gharafa,17,1223,160523,O,76,NT,2
160185,1209,12,Denes Dibusz,GK,11/16/1990,25,Ferencvaros,17,1223,160526,I,83,NT,2
160201,1209,13,Daniel Bode,FD,10/24/1986,29,Ferencvaros,17,1223,160519,O,83,NT,2
160198,1209,14,Gergo Lovrencsics,MF,9/1/1988,27,Lech,18,1208,160179,I,66,NT,2
160197,1209,15,Laszlo Kleinheisler,MF,4/8/1994,22,Bremen,18,1208,160174,O,66,NT,2
160195,1209,16,adam Pinter,DF,6/12/1988,28,Ferencvaros,18,1208,160182,I,71,NT,2
160205,1209,17,Nemanja Nikolic,FD,12/31/1987,28,Legia,18,1208,160173,O,71,NT,2
160200,1209,18,Zoltan Stieber,MF,10/16/1988,27,Nurnberg,18,1213,160289,I,76,NT,2
160206,1209,19,Tamas Priskin,FD,9/27/1986,29,Slovan Bratislava,18,1213,160293,O,76,NT,2
160190,1209,20,Richard Guzmics,DF,4/16/1987,29,Wisla,18,1213,160290,I,80,NT,2
160188,1209,21,Barnabas Bese,DF,5/6/1994,22,MTK,18,1213,160287,O,80,NT,2
160186,1209,22,Peter Gulacsi,GK,5/6/1990,26,Leipzig,18,1213,160294,I,87,NT,2
